product_name,ean,retailer,price,product_quantity_g,caloria_kcal_100g,calories_per_peso
Ades Soja Sabor Chocolatada 1 L,7790895643521,disco,65.19,1000.0,54.0,8.283479061205707
Aceitunas Morixe Verdes Rellenas 300 Gr,7790199603092,disco,76.67,300.0,210.0,8.217034041998174
Manteca Tonadita Con Vitamina 200g,7798060852617,disco,271.89,200.0,770.0,5.664055316488286
Yog.entero Yog´s Sancor Frut Sachet 900g,7798321150827,disco,104.39,900.0,64.5,5.560877478685698
Alim Untable Crematto Clasico 450g,7794820901816,disco,278.89,450.0,293.0,4.7276704076876195
Leche Protein La Serenisima Prisma 1l,7790742172006,disco,79.19,1000.0,37.0,4.672307109483521
Ilolay Leche Parc.desc Reducida Lactosa X1lt,7790787002658,disco,99.13,1000.0,43.0,4.337738323413699
Chorizo  Fresco-envasado Al Vacío-colorado-e/v-un.-1,7798157970101,jumbo,281.99,250.0,485.0,4.299797865172524
Leche Cardio La Serenisina Botella Larga Vida 1l,7790742336002,disco,102.43,1000.0,42.0,4.1003612222981545
Postre Sublime  Chocolate Blanco C/ Ddl,7798321150537,disco,73.79,200.0,149.0,4.038487599945792
Queso Crema Untable Crematto Ligth Pote 290 Gr,7794820901588,disco,173.57,290.0,220.0,3.6757504176989113
Yogur Yogurísimo Bebible Tetra X 1000g Vai B9+zinc,7791337003781,disco,352.15,1000.0,117.0,3.322447820531024
Yogur Ser Con Probióticos Sch 1000 G Vai,7791337004030,disco,342.75,1000.0,113.0,3.2968636032093364
Queso Rallado La Serenisima 100 Gr,7790742017710,disco,103.67,100.0,340.0,3.2796373106974053
Medallón De Pollo Lucchetti X 4 U X280 Gr,7790070035400,disco,152.09,280.0,175.0,3.2217765796567823
