product_name,ean,retailer,price,product_quantity_g,proteina_g_100g,protein_per_peso
Yogur Bebible Tetratop Descremado Frutilla Ilolay 1 Kg,7790787000432,disco,117.69,1000.0,7.5,0.637267397399949
Leche Protein La Serenisima Prisma 1l,7790742172006,disco,79.19,1000.0,4.6,0.5808814244222755
Ades Soja Sabor Chocolatada 1 L,7790895643521,disco,65.19,1000.0,3.2,0.49087283325663444
Queso Rallado La Serenisima 100 Gr,7790742017710,disco,103.67,100.0,45.0,0.43406964406289184
Ilolay Leche Parc.desc Reducida Lactosa X1lt,7790787002658,disco,99.13,1000.0,3.0,0.3026329062846767
Leche Cardio La Serenisina Botella Larga Vida 1l,7790742336002,disco,102.43,1000.0,3.0,0.2928829444498682
Filet De Merluza Artico,7794058000053,jumbo,246.87,400.0,17.0,0.27544861668084414
Yogur Descremado Sancor Vida Pro Con Proteinas - Vainilla X 185grs,7798321150209,disco,84.99,185.0,12.4,0.2699141075420638
Yog.entero Yog´s Sancor Frut Sachet 900g,7798321150827,disco,104.39,900.0,2.8,0.2414024331832551
Medallón De Pollo Lucchetti X 4 U X280 Gr,7790070035400,disco,152.09,280.0,12.3,0.2264448681701624
Jugo Cepita del Valle multifruta 200 cc.,7790895000737,carrefour,1000.0,200.0,96.0,0.192
Yogurt Batido Tregar Light - Frutilla X 125gr,7793913000849,disco,30.0,125.0,4.4,0.18333333333333335
Queso Cheddar Tonadita 116 Gr,7798060852716,disco,124.29,116.0,19.3,0.18012712205326253
Yogur Bebible Yopro Chocolate 250 Cm3,7791337001176,disco,84.93,250.0,6.0,0.17661603673613563
Arroz Pairboil Dos Hermanos 1 Kg,7790503199099,disco,2100.0,1000.0,37.0,0.1761904761904762
